ID;PARENTID;TEXT;LINKTOPICTURE
155;144;Torby, Pokrowce;https://www.komputronik.pl/category/1771/pokrowce-torby-do-aparatow.html;null
156;144;Drony;https://www.komputronik.pl/category/13555/drony-wielowirnikowce.html;null
157;144;Sprzęt optyczny;https://www.komputronik.pl/category/17907/sprzet-optyczny.html;null
158;144;Ramki cyfrowe do zdjęć;https://www.komputronik.pl/category/6290/ramki-cyfrowe.html;null
159;1;Biuro | Firma;https://www.komputronik.pl/category/5811/biuro.html;/images/categories/biuroIfirma.jpg
160;159;Akcesoria na biurko;https://www.komputronik.pl/category/14326/akcesoria-na-biurko.html;null
161;159;Akcesoria do niszczarek;https://www.komputronik.pl/category/5016/akcesoria-do-niszczarek.html;null
162;159;Archiwizacja dokumentów;https://www.komputronik.pl/category/18419/archiwizacja-dokumentow.html;null
163;159;Artykuły piśmiennicze;https://www.komputronik.pl/category/18373/artykuly-pismiennicze.html;null
164;159;Czytniki kodów kreskowych;https://www.komputronik.pl/category/6720/czytniki-kodow-kreskowych.html;null
165;159;Drukarki etykiet;https://www.komputronik.pl/category/6724/drukarki-etykiet.html;null
166;159;Flipcharty;https://www.komputronik.pl/category/14317/flipcharty.html;null
167;159;Liczarki pieniędzy;https://www.komputronik.pl/category/14347/liczarki-pieniedzy.html;null
168;159;Meble biurowe;https://www.komputronik.pl/category/10541/meble-biurowe.html;null
169;159;Niszczarki dokumentów;https://www.komputronik.pl/category/4148/niszczarki-dokumentow.html;null
170;159;Oprawa dokumentów;https://www.komputronik.pl/category/10542/oprawa-dokumentow.html;null
171;159;Organizacja dokumentów;https://www.komputronik.pl/category/13278/organizacja-dokumentow.html;null
172;159;Projektory i ekrany;https://www.komputronik.pl/category/1420/projektory-i-ekrany.html;null
173;159;Rolki do kas fiskalnych;https://www.komputronik.pl/category/18464/rolki-do-kas-fiskalnych.html;null
174;159;Tablice;https://www.komputronik.pl/category/14316/tablice.html;null
175;159;Tablice interaktywne;https://www.komputronik.pl/category/16893/tablice-interaktywne.html;null
176;159;Telefonia analogowa;https://www.komputronik.pl/category/4143/telefonia-analogowa.html;null
177;159;Telefonia VOIP;https://www.komputronik.pl/category/10561/telefonia-voip.html;null
178;159;Testery pieniędzy;https://www.komputronik.pl/category/18072/testery-pieniedzy.html;null
179;159;Uzdatnianie powietrza;https://www.komputronik.pl/category/12705/uzdatnianie-powietrza.html;null
180;159;Wideokonferencje;https://www.komputronik.pl/category/17030/wideokonferencje.html;null
181;1;Rozwiązania profesjonalne;https://www.komputronik.pl/category/18682/rozwiazania-profesjonalne.html;/images/categories/rozwiazaniaprofesjonalne.jpg
182;181;Monitory reklamowe (Digital Signage);https://www.komputronik.pl/category/18683/monitory-reklamowe-digital-signage-.html;null
183;181;Monitory przemysłowe;https://www.komputronik.pl/category/18684/monitory-przemyslowe.html;null
184;null;Telefony i Smartwatche;https://www.komputronik.pl/category/9434/telefony.html;/images/categories/telefonyIsmartwatche.jpg
185;184;Telefony i Smartfony;https://www.komputronik.pl/category/1596/smartfony.html;null
186;185;Wszystkie telefony;https://www.komputronik.pl/category/1596/smartfony.html;null
187;185;Telefony iPhone;https://www.komputronik.pl/category/8960/iphone.html;null
188;185;Telefony z Dual SIM;https://www.komputronik.pl/search-filter/1596/smartfony-z-dual-sim;null
189;185;Telefony dotykowe;https://www.komputronik.pl/category/1596/smartfony.html;null?a%5B109037%5D%5B%5D=55354&filter=1#!#%23products-list;null
190;185;Telefony z LTE;https://www.komputronik.pl/search-filter/1596/smartfony-z-4g-lte;null
191;184;Akcesoria GSM;https://www.komputronik.pl/category/10243/akcesoria-do-telefonow-gsm.html;null
192;191;Słuchawki do telefonu;https://www.komputronik.pl/search-filter/8077/sluchawki-do-telefonu;null
193;191;Baterie do telefonów;https://www.komputronik.pl/category/7286/baterie-do-smartfonow.html;null
194;191;Etui na telefon;https://www.komputronik.pl/category/1647/etui-na-telefon.html;null
195;191;Transmitery FM;https://www.komputronik.pl/category/11220/transmitery-fm.html;null
196;191;Gimbale;https://www.komputronik.pl/category/18302/gimbale.html;null
197;191;Głośniki przenośne;https://www.komputronik.pl/category/6590/glosniki-przenosne.html;null
198;191;Kable do telefonów;https://www.komputronik.pl/category/8358/kable-adaptery-do-smartfonow.html;null
199;191;Kamery termowizyjne do smartfonów;https://www.komputronik.pl/category/17749/kamery-termowizyjne-do-smartfonow.html;null
200;191;Karty Micro Secure Digital (microSD);https://www.komputronik.pl/search-filter/611/karty-micro-secure-digital-microsd;null
201;191;Kosmetyka;https://www.komputronik.pl/category/10322/kosmetyki-biurowe.html;null
202;191;Lampy LED do smartfonów;https://www.komputronik.pl/category/18540/lampy-led-do-smartfonow.html;null
203;191;Ładowarki do telefonu;https://www.komputronik.pl/category/7282/ladowarki-gsm.html;null
204;191;Obiektywy do smartfonów;https://www.komputronik.pl/category/17869/obiektywy-do-smartfonow.html;null
205;191;Ochrona ekranu;https://www.komputronik.pl/category/18434/ochrona-ekranu.html;null
206;191;Okulary VR;https://www.komputronik.pl/category/17064/okulary-vr.html;null
207;191;Pady do smartfonów;https://www.komputronik.pl/category/18422/pady-do-smartfonow.html;null
208;191;Piloty IR;https://www.komputronik.pl/category/18320/piloty-ir.html;null
209;191;Podkładki antypoślizgowe;https://www.komputronik.pl/category/1635/podkladki-antyposlizgowe.html;null
210;191;Podstawki i standy;https://www.komputronik.pl/category/9853/podstawki-na-telefon.html;null
211;191;Power Banki;https://www.komputronik.pl/category/10353/power-bank.html;null
212;191;Pozostałe;https://www.komputronik.pl/category/10621/pozostale.html;null
213;191;Rysiki;https://www.komputronik.pl/category/9641/rysiki-do-smartfonu-tabletu.html;null
214;191;Stacje dokujące do telefonów;https://www.komputronik.pl/category/18501/stacje-dokujace-do-telefonow.html;null
215;191;Selfie stick;https://www.komputronik.pl/category/17528/kijki-do-selfie.html;null
216;191;Uchwyty do telefonów;https://www.komputronik.pl/category/7285/uchwyty-do-telefonow.html;null
217;191;Zestawy słuchawkowe;https://www.komputronik.pl/category/10298/zestawy-sluchawkowe.html;null
218;184;Telefonia VOIP;https://www.komputronik.pl/category/10561/telefonia-voip.html;null
219;218;Telefony VOIP;https://www.komputronik.pl/category/12900/telefony-voip.html;null
220;218;Bramki VOIP;https://www.komputronik.pl/category/12901/bramki-voip.html;null
221;218;Akcesoria do VOIP;https://www.komputronik.pl/category/12902/akcesoria-do-voip.html;null
222;184;Telefonia analogowa;https://www.komputronik.pl/category/4143/telefonia-analogowa.html;null
223;222;Słuchawki dla biznesu;https://www.komputronik.pl/search-filter/8077/sluchawki-dla-biznesu;null
224;222;Dodatkowe słuchawki do telefonów;https://www.komputronik.pl/category/6596/dodatkowe-sluchawki-do-telefonow.html;null
225;222;Telefony stacjonarne;https://www.komputronik.pl/category/18033/telefony-stacjonarne.html;null
226;222;Telefony ISDN;https://www.komputronik.pl/category/11658/telefony-isdn.html;null
227;184;Smartwatche i zegarki;https://www.komputronik.pl/category/18499/smartwatche-i-zegarki.html;null
228;227;Smartwatche;https://www.komputronik.pl/category/14514/smartwatche.html;null
229;227;Zegarki klasyczne;https://www.komputronik.pl/category/18574/zegarki-klasyczne.html;null
230;227;Zegarki sportowe;https://www.komputronik.pl/category/6949/zegarki-sportowe.html;null
